                      $c_{A0}$;                       $Q_{1}$;                       $T_{1}$;                           $L$;                       $c_{A}$;                       $c_{B}$;                       $T_{2}$;                       $Q_{5}$;                       $Q_{4}$;                       $T_{3}$;                       $h_{7}$;                       $u_{1}$;                 $u_{3}=m_{2}$;                       $u_{2}$;                       $r_{1}$;                       $r_{2}$;                       $r_{3}$;                       $r_{4}$;                         CLASS
    0.19987E+02;    0.25105E+00;    0.30134E+02;    0.19938E+01;    0.28741E+01;    0.17216E+02;    0.80105E+02;    0.90933E+00;    0.24997E+00;    0.20142E+02;    0.56277E+05;    0.25650E+02;    0.40798E+02;    0.90551E+00;   -0.12775E-01;    0.71766E-02;   -0.19425E-02;   -0.64535E-01;normal
    0.20119E+02;    0.24907E+00;    0.29965E+02;    0.19972E+01;    0.28473E+01;    0.17104E+02;    0.79927E+02;    0.90074E+00;    0.24920E+00;    0.19907E+02;    0.56056E+05;    0.25796E+02;    0.40775E+02;    0.89925E+00;   -0.74132E-02;    0.89167E-03;   -0.33671E-02;   -0.37377E+00;normal
    0.19967E+02;    0.24891E+00;    0.30020E+02;    0.20068E+01;    0.28613E+01;    0.17186E+02;    0.79894E+02;    0.90303E+00;    0.24787E+00;    0.20066E+02;    0.56720E+05;    0.25204E+02;    0.40176E+02;    0.89261E+00;    0.68368E-02;    0.12046E-01;   -0.20777E-02;    0.19807E+00;normal
    0.20083E+02;    0.25559E+00;    0.30181E+02;    0.20075E+01;    0.28492E+01;    0.17069E+02;    0.80155E+02;    0.89603E+00;    0.24580E+00;    0.19800E+02;    0.55628E+05;    0.25539E+02;    0.40735E+02;    0.90460E+00;    0.76829E-02;    0.56473E-03;   -0.56528E-02;   -0.16685E+00;normal
    0.20084E+02;    0.24992E+00;    0.29845E+02;    0.20023E+01;    0.28083E+01;    0.16996E+02;    0.79891E+02;    0.89699E+00;    0.24933E+00;    0.20162E+02;    0.55389E+05;    0.25057E+02;    0.40890E+02;    0.90041E+00;    0.18903E-03;   -0.17005E-03;    0.44258E-04;   -0.65617E+00;normal
    0.20115E+02;    0.25244E+00;    0.30027E+02;    0.20008E+01;    0.28773E+01;    0.17226E+02;    0.79713E+02;    0.90008E+00;    0.25634E+00;    0.20068E+02;    0.56279E+05;    0.25282E+02;    0.41047E+02;    0.90880E+00;   -0.22528E-02;   -0.79523E-02;    0.60517E-02;    0.20923E+00;normal
    0.20053E+02;    0.25273E+00;    0.29771E+02;    0.20050E+01;    0.28724E+01;    0.17256E+02;    0.80095E+02;    0.89517E+00;    0.24686E+00;    0.19872E+02;    0.56226E+05;    0.25043E+02;    0.40521E+02;    0.90712E+00;    0.34722E-02;   -0.42585E-04;   -0.23665E-02;    0.41221E+00;normal
    0.19508E+02;    0.24884E+00;    0.30039E+02;    0.19937E+01;    0.28427E+01;    0.17209E+02;    0.80054E+02;    0.90531E+00;    0.24753E+00;    0.19912E+02;    0.56638E+05;    0.25813E+02;    0.41144E+02;    0.90568E+00;   -0.13412E-01;   -0.79147E-02;   -0.51086E-02;   -0.16788E+00;normal
    0.19868E+02;    0.24624E+00;    0.30072E+02;    0.20002E+01;    0.28358E+01;    0.17082E+02;    0.79799E+02;    0.91455E+00;    0.24995E+00;    0.19930E+02;    0.56348E+05;    0.25366E+02;    0.40888E+02;    0.90329E+00;   -0.28089E-02;    0.97095E-02;   -0.71278E-03;   -0.36368E+00;normal
    0.20092E+02;    0.24865E+00;    0.30112E+02;    0.20029E+01;    0.28820E+01;    0.17358E+02;    0.80108E+02;    0.90053E+00;    0.24645E+00;    0.19970E+02;    0.55712E+05;    0.25093E+02;    0.40919E+02;    0.90759E+00;    0.89534E-03;    0.73865E-04;   -0.29979E-02;    0.69342E+00;normal
    0.19909E+02;    0.25044E+00;    0.29967E+02;    0.19994E+01;    0.28589E+01;    0.17163E+02;    0.80028E+02;    0.90260E+00;    0.24772E+00;    0.20052E+02;    0.56719E+05;    0.25566E+02;    0.40270E+02;    0.90589E+00;   -0.31677E-02;    0.93988E-02;   -0.38333E-02;   -0.45473E-01;normal
    0.19994E+02;    0.24611E+00;    0.29827E+02;    0.20066E+01;    0.28412E+01;    0.16917E+02;    0.79892E+02;    0.90673E+00;    0.25272E+00;    0.20059E+02;    0.56310E+05;    0.24974E+02;    0.40374E+02;    0.90710E+00;    0.76561E-02;    0.14301E-01;    0.37990E-02;   -0.63234E+00;normal
    0.19780E+02;    0.25030E+00;    0.30064E+02;    0.20056E+01;    0.28722E+01;    0.16855E+02;    0.79844E+02;    0.90238E+00;    0.25094E+00;    0.20028E+02;    0.56413E+05;    0.25488E+02;    0.40937E+02;    0.89237E+00;    0.57730E-02;   -0.41333E-02;   -0.27549E-03;   -0.76422E+00;normal
    0.20014E+02;    0.25115E+00;    0.29999E+02;    0.19864E+01;    0.28790E+01;    0.17104E+02;    0.79969E+02;    0.90397E+00;    0.25403E+00;    0.20282E+02;    0.56356E+05;    0.25059E+02;    0.40639E+02;    0.90541E+00;   -0.22660E-01;    0.49214E-02;    0.47768E-02;   -0.56190E+00;normal
    0.20030E+02;    0.25191E+00;    0.29777E+02;    0.19747E+01;    0.28829E+01;    0.17221E+02;    0.80156E+02;    0.89674E+00;    0.25049E+00;    0.20050E+02;    0.56725E+05;    0.25018E+02;    0.40920E+02;    0.91859E+00;   -0.41052E-01;   -0.11869E-01;    0.14539E-02;   -0.57226E+00;normal
    0.20123E+02;    0.25161E+00;    0.29846E+02;    0.20013E+01;    0.28376E+01;    0.17040E+02;    0.80091E+02;    0.90392E+00;    0.25023E+00;    0.20164E+02;    0.56583E+05;    0.24839E+02;    0.40691E+02;    0.89193E+00;   -0.12141E-02;    0.18457E-02;    0.19317E-02;   -0.45137E+00;normal
    0.20008E+02;    0.24989E+00;    0.30141E+02;    0.19877E+01;    0.28047E+01;    0.16970E+02;    0.80010E+02;    0.91168E+00;    0.24793E+00;    0.19869E+02;    0.56104E+05;    0.25344E+02;    0.40477E+02;    0.89536E+00;   -0.21610E-01;    0.18473E-01;   -0.26059E-02;   -0.11603E+01;normal
    0.20086E+02;    0.24975E+00;    0.30020E+02;    0.20134E+01;    0.28545E+01;    0.16991E+02;    0.80262E+02;    0.89278E+00;    0.25365E+00;    0.19689E+02;    0.56064E+05;    0.24699E+02;    0.40849E+02;    0.89616E+00;    0.16608E-01;   -0.88562E-02;    0.59590E-02;   -0.17755E+00;normal
    0.19936E+02;    0.24866E+00;    0.29882E+02;    0.19952E+01;    0.28349E+01;    0.17234E+02;    0.79793E+02;    0.90356E+00;    0.25130E+00;    0.20083E+02;    0.56577E+05;    0.26065E+02;    0.40771E+02;    0.90484E+00;   -0.10689E-01;   -0.36349E-03;   -0.24515E-02;   -0.52168E-01;normal
    0.19971E+02;    0.24853E+00;    0.29941E+02;    0.20003E+01;    0.28592E+01;    0.17040E+02;    0.79826E+02;    0.90364E+00;    0.24520E+00;    0.20514E+02;    0.56033E+05;    0.25077E+02;    0.40442E+02;    0.89254E+00;   -0.28864E-02;    0.11813E-01;   -0.41674E-02;   -0.42328E+00;normal
    0.19969E+02;    0.25095E+00;    0.29992E+02;    0.20005E+01;    0.28433E+01;    0.16954E+02;    0.79888E+02;    0.89567E+00;    0.24539E+00;    0.20140E+02;    0.56609E+05;    0.24887E+02;    0.40814E+02;    0.90455E+00;   -0.25858E-02;   -0.95158E-02;   -0.31153E-02;   -0.72595E+00;normal
    0.20039E+02;    0.24921E+00;    0.30087E+02;    0.19950E+01;    0.28544E+01;    0.17024E+02;    0.80077E+02;    0.90211E+00;    0.24938E+00;    0.20162E+02;    0.55586E+05;    0.25672E+02;    0.40674E+02;    0.88157E+00;   -0.10796E-01;    0.84050E-02;   -0.26298E-02;   -0.65043E+00;normal
