                      $c_{A0}$;                       $Q_{1}$;                       $T_{1}$;                           $L$;                       $c_{A}$;                       $c_{B}$;                       $T_{2}$;                       $Q_{5}$;                       $Q_{4}$;                       $T_{3}$;                       $h_{7}$;                       $u_{1}$;                 $u_{3}=m_{2}$;                       $u_{2}$;                       $r_{1}$;                       $r_{2}$;                       $r_{3}$;                       $r_{4}$;                         CLASS
    0.20109E+02;    0.24778E+00;    0.29655E+02;    0.19955E+01;    0.28115E+01;    0.17158E+02;    0.80006E+02;    0.90703E+00;    0.24869E+00;    0.19878E+02;    0.56046E+05;    0.25012E+02;    0.40675E+02;    0.89706E+00;   -0.84210E-02;    0.96115E-02;   -0.37508E-03;   -0.22619E+00;normal
    0.20110E+02;    0.24752E+00;    0.29941E+02;    0.20065E+01;    0.28365E+01;    0.17027E+02;    0.80267E+02;    0.90018E+00;    0.24707E+00;    0.20015E+02;    0.56369E+05;    0.25532E+02;    0.40495E+02;    0.90341E+00;    0.80822E-02;    0.44303E-02;   -0.43534E-02;   -0.21943E+00;normal
    0.19826E+02;    0.25054E+00;    0.30277E+02;    0.19974E+01;    0.28733E+01;    0.17294E+02;    0.80169E+02;    0.91255E+00;    0.25062E+00;    0.19950E+02;    0.56309E+05;    0.25472E+02;    0.40533E+02;    0.90347E+00;   -0.56993E-02;    0.16379E-01;   -0.50463E-03;    0.41856E+00;normal
    0.19991E+02;    0.25128E+00;    0.30004E+02;    0.19925E+01;    0.28185E+01;    0.17333E+02;    0.80033E+02;    0.90545E+00;    0.24923E+00;    0.20015E+02;    0.56227E+05;    0.24482E+02;    0.40870E+02;    0.88823E+00;   -0.13063E-01;    0.19974E-02;    0.25729E-02;    0.22097E+00;normal
    0.20065E+02;    0.25239E+00;    0.29989E+02;    0.20091E+01;    0.28072E+01;    0.17290E+02;    0.79920E+02;    0.89919E+00;    0.24775E+00;    0.20007E+02;    0.56511E+05;    0.25447E+02;    0.40421E+02;    0.89586E+00;    0.11895E-01;    0.40568E-02;   -0.32918E-02;    0.56628E+00;normal
    0.19864E+02;    0.24941E+00;    0.30162E+02;    0.19901E+01;    0.28773E+01;    0.17128E+02;    0.79963E+02;    0.90510E+00;    0.25310E+00;    0.20204E+02;    0.56477E+05;    0.25135E+02;    0.40879E+02;    0.89491E+00;   -0.15846E-01;   -0.56707E-03;    0.34975E-02;   -0.27595E+00;normal
    0.19909E+02;    0.24896E+00;    0.30086E+02;    0.19905E+01;    0.28483E+01;    0.17052E+02;    0.79758E+02;    0.89922E+00;    0.25099E+00;    0.20132E+02;    0.56652E+05;    0.25072E+02;    0.40429E+02;    0.89240E+00;   -0.14394E-01;    0.27904E-02;    0.16709E-02;   -0.54975E+00;normal
    0.20182E+02;    0.24713E+00;    0.29820E+02;    0.19945E+01;    0.28334E+01;    0.17207E+02;    0.79897E+02;    0.90816E+00;    0.24851E+00;    0.20075E+02;    0.56271E+05;    0.25153E+02;    0.40124E+02;    0.89561E+00;   -0.83619E-02;    0.21954E-01;   -0.11807E-02;   -0.15545E-01;normal
    0.19905E+02;    0.25067E+00;    0.29865E+02;    0.20000E+01;    0.28152E+01;    0.17018E+02;    0.79980E+02;    0.90046E+00;    0.24849E+00;    0.20027E+02;    0.55580E+05;    0.25050E+02;    0.40905E+02;    0.90773E+00;    0.21713E-03;    0.14182E-02;   -0.75329E-03;   -0.46833E+00;normal
    0.19895E+02;    0.24816E+00;    0.30031E+02;    0.19824E+01;    0.28412E+01;    0.17026E+02;    0.80068E+02;    0.90621E+00;    0.25083E+00;    0.19909E+02;    0.56348E+05;    0.25174E+02;    0.40859E+02;    0.90769E+00;   -0.25520E-01;    0.20538E-02;    0.10756E-02;   -0.87586E+00;normal
    0.20254E+02;    0.25058E+00;    0.29926E+02;    0.20186E+01;    0.28268E+01;    0.17043E+02;    0.80105E+02;    0.90464E+00;    0.24780E+00;    0.19903E+02;    0.55969E+05;    0.25448E+02;    0.40695E+02;    0.89687E+00;    0.28757E-01;    0.73827E-02;   -0.32757E-02;    0.20304E+00;normal
    0.19883E+02;    0.24983E+00;    0.30121E+02;    0.19941E+01;    0.28180E+01;    0.16991E+02;    0.79893E+02;    0.90273E+00;    0.25165E+00;    0.20089E+02;    0.55877E+05;    0.25769E+02;    0.40982E+02;    0.90983E+00;   -0.82435E-02;   -0.52249E-03;   -0.79209E-03;   -0.71255E+00;normal
    0.19963E+02;    0.24873E+00;    0.29938E+02;    0.20021E+01;    0.28500E+01;    0.17026E+02;    0.80037E+02;    0.89537E+00;    0.25104E+00;    0.20211E+02;    0.55973E+05;    0.25257E+02;    0.40408E+02;    0.90378E+00;    0.36309E-02;    0.48302E-02;    0.86823E-03;   -0.29404E+00;normal
    0.20030E+02;    0.25442E+00;    0.30106E+02;    0.19916E+01;    0.28402E+01;    0.17158E+02;    0.80041E+02;    0.89942E+00;    0.25463E+00;    0.19985E+02;    0.56367E+05;    0.25084E+02;    0.40493E+02;    0.89444E+00;   -0.12528E-01;    0.37395E-02;    0.52521E-02;   -0.27552E+00;normal
    0.19952E+02;    0.24939E+00;    0.30123E+02;    0.20017E+01;    0.28557E+01;    0.17292E+02;    0.80126E+02;    0.89966E+00;    0.25025E+00;    0.20196E+02;    0.56152E+05;    0.24925E+02;    0.40609E+02;    0.90694E+00;    0.30594E-02;    0.29495E-02;    0.15626E-02;    0.48496E+00;normal
    0.20318E+02;    0.25181E+00;    0.29906E+02;    0.20006E+01;    0.28376E+01;    0.17097E+02;    0.80124E+02;    0.90343E+00;    0.25142E+00;    0.19734E+02;    0.56123E+05;    0.25250E+02;    0.40736E+02;    0.89927E+00;    0.85445E-03;    0.39729E-02;    0.12756E-02;   -0.19785E+00;normal
    0.19827E+02;    0.24927E+00;    0.30234E+02;    0.20010E+01;    0.28834E+01;    0.17098E+02;    0.79967E+02;    0.90248E+00;    0.24969E+00;    0.20025E+02;    0.56211E+05;    0.25375E+02;    0.40702E+02;    0.90818E+00;    0.12505E-02;    0.31326E-02;   -0.10191E-02;   -0.52762E-01;normal
    0.20004E+02;    0.24751E+00;    0.30267E+02;    0.19997E+01;    0.28483E+01;    0.17247E+02;    0.80038E+02;    0.89732E+00;    0.24670E+00;    0.20005E+02;    0.56639E+05;    0.25157E+02;    0.40549E+02;    0.89929E+00;   -0.99315E-03;   -0.18468E-02;   -0.30280E-02;    0.23424E+00;normal
    0.19823E+02;    0.24866E+00;    0.30218E+02;    0.20178E+01;    0.28440E+01;    0.17184E+02;    0.79927E+02;    0.90348E+00;    0.24994E+00;    0.19925E+02;    0.55475E+05;    0.25834E+02;    0.40446E+02;    0.89489E+00;    0.26223E-01;    0.16021E-01;   -0.28495E-02;    0.58388E+00;normal
    0.20331E+02;    0.24764E+00;    0.30243E+02;    0.19970E+01;    0.28703E+01;    0.17062E+02;    0.80174E+02;    0.89873E+00;    0.24904E+00;    0.19928E+02;    0.56528E+05;    0.24850E+02;    0.40603E+02;    0.89459E+00;   -0.51077E-02;   -0.83609E-03;    0.70963E-03;   -0.33528E+00;normal
    0.19828E+02;    0.25001E+00;    0.30293E+02;    0.20014E+01;    0.28550E+01;    0.17051E+02;    0.79844E+02;    0.90404E+00;    0.25469E+00;    0.19822E+02;    0.56489E+05;    0.25461E+02;    0.40889E+02;    0.88453E+00;    0.67489E-03;   -0.19489E-02;    0.35982E-02;   -0.30437E+00;normal
    0.20013E+02;    0.24852E+00;    0.29912E+02;    0.19994E+01;    0.28482E+01;    0.17263E+02;    0.80235E+02;    0.90529E+00;    0.25303E+00;    0.20003E+02;    0.55931E+05;    0.25425E+02;    0.40445E+02;    0.89957E+00;   -0.21229E-02;    0.14206E-01;    0.21093E-02;    0.25623E+00;normal
    0.20033E+02;    0.25314E+00;    0.29822E+02;    0.20065E+01;    0.28391E+01;    0.17121E+02;    0.80130E+02;    0.90305E+00;    0.24675E+00;    0.19993E+02;    0.55946E+05;    0.24512E+02;    0.40769E+02;    0.90900E+00;    0.77914E-02;    0.42260E-02;   -0.83274E-04;   -0.25919E-02;normal
    0.20128E+02;    0.24878E+00;    0.29977E+02;    0.19964E+01;    0.28851E+01;    0.16769E+02;    0.80033E+02;    0.89371E+00;    0.24914E+00;    0.19901E+02;    0.55960E+05;    0.25625E+02;    0.40551E+02;    0.89947E+00;   -0.77084E-02;   -0.91930E-04;   -0.26650E-02;   -0.12420E+01;normal
